Codigo distrito;Nombre tipo zona;Nit cliente-sucursal;Recency;Monetary;Frequency;Distrito-Nombretipozona
101;Artes graficas;1760117754-1;24;145660;19;101-Artes graficas
101;Artes graficas;1760134553-1;23;62984;17;101-Artes graficas
101;Artes graficas;1760138224-1;18;6804;5;101-Artes graficas
101;Artes graficas;1760157193-1;10;3271;5;101-Artes graficas
101;Artes graficas;1760167511-1;18;189;1;101-Artes graficas
101;Artes graficas;1760177844-1;21;12233;4;101-Artes graficas
101;Artes graficas;1760194000-1;24;213989;14;101-Artes graficas
101;Artes graficas;1760196426-1;2;4877;2;101-Artes graficas
101;Artes graficas;1760196483-1;23;355642;5;101-Artes graficas
101;Artes graficas;1760202165-1;23;2163092;17;101-Artes graficas
101;Artes graficas;1760212045-2;24;50503;13;101-Artes graficas
101;Artes graficas;1760224759-1;24;4656;1;101-Artes graficas
101;Artes graficas;1760228689-1;23;231969;15;101-Artes graficas
101;Artes graficas;1760240669-1;1;322;1;101-Artes graficas
101;Artes graficas;1760248806-1;24;469640;13;101-Artes graficas
101;Artes graficas;1760249952-1;17;14674;2;101-Artes graficas
101;Artes graficas;1760250509-1;23;30858;4;101-Artes graficas
101;Artes graficas;1760250517-1;20;45005;9;101-Artes graficas
101;Artes graficas;1760257241-1;24;429628;18;101-Artes graficas
101;Artes graficas;1760270751-1;23;1659;2;101-Artes graficas
101;Artes graficas;1760273370-1;24;54324;16;101-Artes graficas
101;Artes graficas;1760293076-1;17;115539;11;101-Artes graficas
101;Artes graficas;1760293191-1;24;223379;17;101-Artes graficas
101;Artes graficas;1760296119-1;23;564839;11;101-Artes graficas
101;Artes graficas;1760296356-2;23;3268;2;101-Artes graficas
101;Artes graficas;1760298545-1;23;20660;10;101-Artes graficas
101;Artes graficas;1760303180-1;9;244;1;101-Artes graficas
101;Artes graficas;1760312891-1;23;139822;10;101-Artes graficas
101;Artes graficas;1760320365-1;24;102089;11;101-Artes graficas
101;Artes graficas;1760326785-1;24;332355;15;101-Artes graficas
101;Artes graficas;1760334333-1;22;145471;18;101-Artes graficas
101;Artes graficas;1760337022-1;24;1249;24;101-Artes graficas
101;Artes graficas;1760353079-1;24;17021;7;101-Artes graficas
101;Artes graficas;1760354775-1;17;94037;13;101-Artes graficas
101;Artes graficas;1760365210-1;21;328076;6;101-Artes graficas
101;Artes graficas;1760370066-1;24;4499;24;101-Artes graficas
101;Artes graficas;1760378934-1;23;140713;20;101-Artes graficas
101;Artes graficas;1760380226-1;23;68656;8;101-Artes graficas
101;Artes graficas;1760393361-1;6;4270;1;101-Artes graficas
101;Artes graficas;1760397893-1;24;38577;7;101-Artes graficas
101;Artes graficas;1760397980-1;24;313727;23;101-Artes graficas
101;Artes graficas;1760405999-1;10;500;2;101-Artes graficas
101;Artes graficas;1760408254-1;8;397;2;101-Artes graficas
101;Artes graficas;1760410235-1;24;33657;10;101-Artes graficas
101;Artes graficas;1760410852-1;20;4146;1;101-Artes graficas
101;Artes graficas;1760432981-1;24;130141;17;101-Artes graficas
101;Artes graficas;1760437758-1;23;91903;7;101-Artes graficas
101;Artes graficas;1760438446-1;23;76314;21;101-Artes graficas
101;Artes graficas;1760441659-1;2;844;1;101-Artes graficas
101;Artes graficas;1760441767-1;24;49968;11;101-Artes graficas
101;Artes graficas;1760441837-1;24;25434;4;101-Artes graficas
101;Artes graficas;1760453595-1;21;975;1;101-Artes graficas
101;Artes graficas;1760454479-1;24;1737;4;101-Artes graficas
101;Artes graficas;1760465738-1;24;223424;24;101-Artes graficas
101;Artes graficas;1760467086-1;24;364961;15;101-Artes graficas
101;Artes graficas;1760468920-1;24;775104;21;101-Artes graficas
101;Artes graficas;1760473025-1;24;13337;2;101-Artes graficas
101;Artes graficas;1760476350-1;12;8519;5;101-Artes graficas
101;Artes graficas;1760476412-1;23;508905;8;101-Artes graficas
101;Artes graficas;1760481567-1;22;5898;3;101-Artes graficas
101;Artes graficas;1760483070-1;6;348;1;101-Artes graficas
101;Artes graficas;1760485652-1;21;302006;18;101-Artes graficas
101;Artes graficas;1760490251-1;7;30681;4;101-Artes graficas
101;Artes graficas;1760495650-1;8;936;1;101-Artes graficas
101;Artes graficas;1760505499-1;12;784;1;101-Artes graficas
101;Artes graficas;1760514191-1;16;6706;1;101-Artes graficas
101;Artes graficas;1760519857-1;24;118252;17;101-Artes graficas
101;Artes graficas;1760520290-1;23;3468;3;101-Artes graficas
101;Artes graficas;1760520617-1;24;670605;18;101-Artes graficas
101;Artes graficas;1760524406-1;24;27808;11;101-Artes graficas
101;Artes graficas;1760530151-1;22;129430;12;101-Artes graficas
101;Artes graficas;1760540627-1;23;23993;8;101-Artes graficas
101;Artes graficas;1760545473-1;18;60195;12;101-Artes graficas
101;Artes graficas;1760546260-1;24;289651;20;101-Artes graficas
101;Artes graficas;1760552685-1;24;339703;20;101-Artes graficas
101;Artes graficas;1760559938-1;23;344086;16;101-Artes graficas
101;Artes graficas;1760564055-1;3;3525;1;101-Artes graficas
101;Artes graficas;1760573733-1;12;276;1;101-Artes graficas
101;Artes graficas;1760580983-1;17;132282;16;101-Artes graficas
101;Artes graficas;1760592483-1;12;3062;1;101-Artes graficas
101;Artes graficas;1760611190-1;24;118204;22;101-Artes graficas
101;Artes graficas;1760614939-1;11;2214;1;101-Artes graficas
101;Artes graficas;1760634579-1;23;21225;1;101-Artes graficas
101;Artes graficas;1760637875-2;24;79743;14;101-Artes graficas
101;Artes graficas;1760651609-1;23;28582;5;101-Artes graficas
101;Artes graficas;1760654694-1;23;7266;1;101-Artes graficas
101;Artes graficas;1760662936-1;23;49881;8;101-Artes graficas
101;Artes graficas;1760664610-1;3;1115;2;101-Artes graficas
101;Artes graficas;1760674679-1;22;48704;5;101-Artes graficas
101;Artes graficas;1760676316-1;24;564214;18;101-Artes graficas
101;Artes graficas;1760676316-2;15;4682;2;101-Artes graficas
101;Artes graficas;1760683959-1;24;719866;21;101-Artes graficas
101;Artes graficas;1760684961-1;23;58361;8;101-Artes graficas
